"What is a data structure?","A way of organising and storing data for efficient use"
"What is an array?","A collection of elements stored in contiguous memory locations"
"What is a 1D array?","A linear list of elements accessed by one index"
"What is a 2D array?","A table of elements accessed by row and column"
"What is an index?","The position of an element in a data structure"
"What is zero-based indexing?","Indexing starting from 0"
"What is a record?","A collection of related fields"
"What is a field?","An individual piece of data within a record"
"What is a list?","A dynamic collection of elements"
"What is a linked list?","A list where elements point to the next node"
"What is a node?","An element in a linked list containing data and a pointer"
"What is a pointer?","A variable storing a memory address"
"What is dynamic memory allocation?","Allocating memory during runtime"
"What is static data structure?","Fixed size data structure"
"What is dynamic data structure?","Size can change during execution"
"What is a stack?","A data structure following LIFO principle"
"What does LIFO mean?","Last In First Out"
"What is push (stack)?","Adding an item to the stack"
"What is pop (stack)?","Removing the top item"
"What is peek?","Viewing the top item without removing it"
"What is stack overflow?","Stack is full"
"What is stack underflow?","Stack is empty"
"What is a queue?","A data structure following FIFO principle"
"What does FIFO mean?","First In First Out"
"What is enqueue?","Adding an item to a queue"
"What is dequeue?","Removing an item from a queue"
"What is a circular queue?","Queue that wraps around to reuse space"
"What is a priority queue?","Queue where elements have priority levels"
"What is a deque?","Double-ended queue"
"What is a tree?","A hierarchical data structure"
"What is a root node?","Top node in a tree"
"What is a parent node?","Node with children"
"What is a child node?","Node connected below a parent"
"What is a leaf node?","Node with no children"
"What is a binary tree?","Tree where each node has at most two children"
"What is a subtree?","A smaller tree within a tree"
"What is depth?","Distance from root to node"
"What is height?","Maximum depth of tree"
"What is a graph?","A collection of nodes and edges"
"What is a vertex?","A node in a graph"
"What is an edge?","Connection between vertices"
"What is a directed graph?","Edges have direction"
"What is an undirected graph?","Edges have no direction"
"What is weighted graph?","Edges have values"
"What is adjacency matrix?","2D array representing graph connections"
"What is adjacency list?","List representing graph connections"
"What is a hash table?","Structure mapping keys to values"
"What is a key?","Identifier used to access data"
"What is a value?","Data associated with a key"
"What is a collision?","When two keys map to same index"
"What is linear data structure?","Elements arranged sequentially"
"What is non-linear data structure?","Elements arranged hierarchically"
"What is traversal?","Visiting each element in a structure"
"What is array traversal?","Accessing each element in sequence"
"What is insertion?","Adding an element"
"What is deletion?","Removing an element"
"What is searching?","Finding a specific element"
"What is updating?","Changing an element value"
"What is sparse array?","Array with many empty elements"
"What is dense array?","Array with few empty elements"
"What is multidimensional array?","Array with more than one dimension"
"What is jagged array?","Array with rows of different lengths"
"What is pointer arithmetic?","Manipulating memory addresses"
"What is memory address?","Location of data in memory"
"What is contiguous memory?","Memory locations next to each other"
"What is linked list traversal?","Moving through nodes using pointers"
"What is doubly linked list?","Nodes point to next and previous"
"What is circular linked list?","Last node points to first"
"What is stack implementation array?","Stack using array structure"
"What is stack implementation linked list?","Stack using nodes"
"What is queue implementation array?","Queue using array"
"What is queue implementation linked list?","Queue using nodes"
"What is overflow in queue?","Queue is full"
"What is underflow in queue?","Queue is empty"
"What is binary search tree?","Ordered binary tree"
"What is in-order traversal?","Left, root, right"
"What is pre-order traversal?","Root, left, right"
"What is post-order traversal?","Left, right, root"
"What is balanced tree?","Tree with minimal height"
"What is unbalanced tree?","Tree with uneven structure"
"What is graph traversal?","Visiting all nodes in graph"
"What is BFS?","Breadth-first search"
"What is DFS?","Depth-first search"
"What is stack usage in DFS?","Uses stack for traversal"
"What is queue usage in BFS?","Uses queue for traversal"
"What is hash function?","Maps keys to indices"
"What is load factor?","Number of elements divided by table size"
"What is open addressing?","Handling collisions by probing"
"What is chaining?","Using linked lists for collisions"
"What is linear probing?","Checking next available slot"
"What is quadratic probing?","Checking slots using squared offset"
"What is rehashing?","Resizing hash table"
"What is collision resolution?","Handling hash collisions"
"What is abstract data type (ADT)?","Logical description of data structure"
"What is stack ADT?","Defines stack behaviour"
"What is queue ADT?","Defines queue behaviour"
"What is encapsulation in DS?","Hiding implementation details"
"What is interface?","Methods available to user"
"What is implementation?","Actual code behind structure"
"What is time complexity of array access?","O(1)"
"What is time complexity of array search?","O(n)"
"What is time complexity of binary search tree search?","O(log n) average"
"What is time complexity of linked list search?","O(n)"
"What is time complexity of stack push?","O(1)"
"What is time complexity of queue enqueue?","O(1)"
"What is dynamic array?","Array that resizes automatically"
"What is resizing?","Increasing array size"
"What is memory fragmentation?","Unused memory spaces"
"What is internal fragmentation?","Unused space within allocation"
"What is external fragmentation?","Unused space between allocations"
"What is pointer null value?","Indicates no reference"
"What is sentinel node?","Special node marking end"
"What is head pointer?","Points to first node"
"What is tail pointer?","Points to last node"
"What is traversal termination?","Stopping condition"
"What is recursion in trees?","Traversing using recursion"
"What is graph cycle?","Path returning to start"
"What is acyclic graph?","Graph without cycles"
"What is connected graph?","All nodes reachable"
"What is disconnected graph?","Some nodes unreachable"
"What is spanning tree?","Subset connecting all nodes"
"What is shortest path?","Minimum distance between nodes"
"What is Dijkstra’s algorithm?","Finds shortest path"
"What is adjacency representation?","Storing graph structure"
"What is edge list?","List of edges"
"What is memory efficiency?","Optimising memory usage"
"What is time efficiency?","Optimising speed"
"What is trade-off?","Balance between time and space"
"What is stack frame?","Memory for function call"
"What is recursion stack?","Stores recursive calls"
"What is queue front pointer?","Points to first element"
"What is queue rear pointer?","Points to last element"
"What is circular buffer?","Fixed-size circular queue"
"What is overflow handling?","Managing full structure"
"What is underflow handling?","Managing empty structure"
"What is graph representation choice?","Matrix vs list"
"What is dense graph?","Many edges"
"What is sparse graph?","Few edges"
"What is tree balancing?","Maintaining optimal height"
"What is AVL tree?","Self-balancing binary tree"
"What is heap?","Special tree structure"
"What is max heap?","Parent greater than children"
"What is min heap?","Parent smaller than children"
"What is priority queue using heap?","Efficient priority handling"
"What is heap insertion?","Adding element while maintaining structure"
"What is heap deletion?","Removing root and restructuring"
"What is heapify?","Restoring heap property"
"What is complete binary tree?","All levels filled except last"
"What is tree rotation?","Balancing operation"
"What is left rotation?","Rotating nodes left"
"What is right rotation?","Rotating nodes right"
"What is graph adjacency matrix advantage?","Fast lookup"
"What is adjacency matrix disadvantage?","High memory use"
"What is adjacency list advantage?","Memory efficient"
"What is adjacency list disadvantage?","Slower lookup"
"What is hash table average complexity?","O(1)"
"What is worst-case hash lookup?","O(n)"
"What is collision chain length?","Number of items per bucket"
"What is load factor threshold?","When resizing occurs"
"What is data encapsulation?","Protecting structure"
"What is modular data structure design?","Separating components"
"What is interface consistency?","Standard method access"
"What is abstraction in data structures?","Hiding complexity"
"What is pointer dereferencing risk?","Accessing invalid memory"
"What is null pointer error?","Dereferencing null"
"What is garbage collection role?","Freeing unused memory"
"What is memory leak cause?","Unreleased memory"
"What is recursion tree?","Visual of recursive calls"
"What is depth-first traversal stack use?","Uses stack"
"What is breadth-first traversal queue use?","Uses queue"
"What is iterative traversal?","Using loops"
"What is recursive traversal?","Using recursion"
"What is graph search complexity?","Depends on nodes/edges"
"What is edge weight significance?","Represents cost"
"What is pathfinding algorithm?","Finds route in graph"
"What is graph direction importance?","Affects traversal"
"What is cyclic dependency?","Circular reference"
"What is data redundancy?","Duplicate data"
"What is data integrity?","Accuracy of data"
"What is normalisation in DS context?","Reducing redundancy"
"What is efficient storage?","Minimising memory use"
"What is scalability of DS?","Handling growth"
"What is structure selection?","Choosing right DS"
"What is performance consideration?","Speed vs memory"
"What is DS abstraction benefit?","Simplifies coding"
"What is real-world DS example?","Stack in undo feature"
"What is queue real-world example?","Printer queue"
"What is tree real-world example?","File system"
"What is graph real-world example?","Social networks"
"What is hash table example?","Dictionary lookup"
